"","Player","Teams","Maps","Rounds","K.D.Diff","K.D","Rating2.0"
"355","denis",NA,155,4175,-362,0.88,0.96
"356","dexter",NA,149,3984,-290,0.89,0.96
"357","arki",NA,230,6058,-442,0.89,0.96
"358","mynio",NA,194,5179,-523,0.86,0.96
"359","Boombl4",NA,186,4948,-412,0.87,0.96
"360","bubble",NA,359,9562,-924,0.86,0.96
"361","Ro1f",NA,201,5338,-419,0.88,0.95
"362","JACKZ",NA,197,5306,-451,0.87,0.95
"363","AdreN",NA,193,5138,-328,0.9,0.95
"364","sorrow",NA,323,8691,-617,0.9,0.95
"365","Psycho",NA,147,3933,-308,0.88,0.95
"366","IceBerg",NA,143,3797,-449,0.84,0.95
"367","TOAO",NA,203,5477,-392,0.9,0.95
"368","Synyx",NA,154,3969,-283,0.89,0.95
"369","MiGHTYMAX",NA,308,8283,-595,0.89,0.94
"370","prt",NA,191,4915,-318,0.91,0.94
"371","Furlan",NA,297,8055,-716,0.87,0.94
"372","Xyp9x",NA,149,4056,-330,0.88,0.94
"373","lunAtic",NA,189,5178,-474,0.87,0.94
"374","TACO",NA,152,4011,-313,0.88,0.94
"375","seized",NA,156,4043,-432,0.85,0.94
"376","jemi",NA,189,5033,-410,0.88,0.93
"377","NEO",NA,146,3940,-432,0.84,0.93
"378","tiziaN",NA,240,6434,-609,0.86,0.93
"379","1eeR",NA,146,3876,-305,0.88,0.93
"380","BTN",NA,183,4800,-578,0.83,0.92
"381","dav1g",NA,187,4991,-563,0.83,0.92
"382","Airax",NA,168,4541,-671,0.8,0.91
"383","karrigan",NA,148,3997,-567,0.8,0.9
"384","kRYSTAL",NA,151,3980,-578,0.79,0.9
"385","HooXi",NA,297,7941,-1006,0.82,0.9
"386","ScrunK",NA,148,3915,-576,0.79,0.89
"387","friberg",NA,255,7048,-1152,0.77,0.89
"388","gulito",NA,141,3702,-338,0.87,0.89
"389","simix",NA,146,3919,-558,0.79,0.88
"390","ADEJIS",NA,143,3820,-599,0.78,0.88
"391","TaZ",NA,149,4023,-596,0.79,0.87
"392","Lambert",NA,275,7237,-987,0.8,0.86
"393","insane",NA,152,3944,-708,0.75,0.85
